PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Whitehaven and Workington,4,28,89,121,0.9582099232515403,1.0601051840721263,2.3446652357543445
Widnes and Halewood,0,18,87,105,1.0794088669950739,0.7853432282003711,0.0
Wigan,0,25,49,74,0.862621718031944,1.5476921726921726,0.0
Wimbledon,1,36,160,197,1.058058752874569,0.8371679082338981,0.3600310831551722
Winchester,6,53,161,220,0.9533650416171224,1.1036452184179457,1.9343488194973342
Windsor,1,35,142,178,1.0392603775601543,0.9007916241062309,0.39846136731218496
Wirral West,2,23,60,85,0.9195775337483388,1.2396103896103896,1.6688499619192687
Witham,2,47,127,176,0.9400416171224732,1.223380312868949,0.805978674790556
Witney,1,19,65,85,0.9962089948940336,1.024025974025974,0.8344249809596344
Woking,2,44,141,187,0.9822760019584529,1.077922077922078,0.7585681645087585
Wokingham,2,20,66,88,0.97705112960761,1.0411747343565525,1.611957349581112
Wolverhampton North East,0,18,125,143,1.1387542303118998,0.5766506221051676,0.0
Wolverhampton South East,3,39,164,206,1.037128707156298,0.8673086622115749,1.032904709440324
Wolverhampton West,2,23,128,153,1.0898696696276609,0.6886724386724387,0.9271388677329272
Worcester,1,16,55,72,0.9951446690447879,1.018037518037518,0.985085046966235
Worsley and Eccles,1,30,83,114,0.9484823831278554,1.2055707450444293,0.6221589770313063
Worthing West,0,34,120,154,1.0151180567351792,1.0114268848035082,0.0
Wrexham,5,22,65,92,0.9204104844129659,1.095496894409938,3.8546806185635285
Wycombe,1,19,99,119,1.0837878076319707,0.7314471243042672,0.596017843542596
Wyre Forest,3,23,62,88,0.9178359096313913,1.1973509445100354,2.417936024371668
Wythenshawe and Sale East,3,24,69,96,0.9363406658739596,1.1452922077922079,2.216441355674029
Yeovil,3,22,87,112,1.0119458128078818,0.8998724489795918,1.8998068762920246
Ynys Môn,1,13,35,49,0.930524885340581,1.2154121388815267,1.4474719057463046
York Central,1,31,161,193,1.0867373531386888,0.7358354081152009,0.3674928672620152
York Outer,3,25,87,115,0.9855472263868066,0.9959062676453981,1.8502466969104936
